GeneSymbol	ROSMAP_PFC_FPKM_CpDxLow_AD_NCI_ProbeID	ROSMAP_PFC_FPKM_CpDxLow_AD_NCI_logFC	ROSMAP_PFC_FPKM_CpDxLow_AD_NCI_adj.P.Val	MayoEGWAS_eQTL_TCX_AD_SNP	MayoEGWAS_eQTL_TCX_AD_Probe	MayoEGWAS_eQTL_TCX_AD_Beta	MayoEGWAS_eQTL_TCX_AD_Pvalue	IGAP_1_SNP	IGAP_1_Beta	IGAP_1_Pvalue
AC010980.2	ENSG00000237732	-0.265030640751953	0.00405970798089031	NA	NA	NA	NA	NA	NA	NA
AC011288.2	ENSG00000229618	-0.550871343271846	0.00270992891994367	NA	NA	NA	NA	NA	NA	NA
AC011330.5	ENSG00000249839	-0.580939451258674	0.00930840078350728	NA	NA	NA	NA	NA	NA	NA
AC016995.3	ENSG00000231367	-0.425494222268591	0.00345551790199223	NA	NA	NA	NA	NA	NA	NA
AC018647.3	ENSG00000227544	0.455870726678993	0.000386950326454043	NA	NA	NA	NA	NA	NA	NA
AC018712.2	ENSG00000230104	-0.425826208106403	0.00728667544052842	NA	NA	NA	NA	NA	NA	NA
AC018890.6	ENSG00000236449	-0.278814387919685	0.00431997520007342	NA	NA	NA	NA	NA	NA	NA
AC024560.3	ENSG00000214135	-0.350043162907033	0.00215260021582082	NA	NA	NA	NA	NA	NA	NA
AC034220.3	ENSG00000233006	-0.365852032583558	1.00326686729491e-05	NA	NA	NA	NA	NA	NA	NA
AC062017.1	ENSG00000222020	-0.45498032013152	0.00371723260218113	NA	NA	NA	NA	NA	NA	NA
AC062028.1	ENSG00000145063	-0.547089415392188	4.34002475983804e-05	NA	NA	NA	NA	NA	NA	NA
AC062029.1	ENSG00000234028	-0.336417354295717	0.00302024365013117	NA	NA	NA	NA	NA	NA	NA
AC067956.1	ENSG00000236451	-0.42972929409359	0.00101835094298675	NA	NA	NA	NA	NA	NA	NA
AC068831.10	ENSG00000214432	-0.363397054943509	0.00456692705031349	NA	NA	NA	NA	NA	NA	NA
AC073343.13	ENSG00000228010	-0.440878880011766	0.00525586157916845	NA	NA	NA	NA	NA	NA	NA
AC074286.1	ENSG00000213963	-0.206853671568663	0.00454239491390019	NA	NA	NA	NA	NA	NA	NA
AC079776.2	ENSG00000214100	-0.927263472547398	6.24079365768805e-05	NA	NA	NA	NA	NA	NA	NA
AC084809.3	ENSG00000236377	-0.537759448814733	0.00398143828604206	NA	NA	NA	NA	NA	NA	NA
AC090616.2	ENSG00000214708	-0.309732255818297	0.00363064701251307	NA	NA	NA	NA	NA	NA	NA
AC090945.1	ENSG00000224728	-0.395059009136627	0.00160649433453617	NA	NA	NA	NA	NA	NA	NA
AC091878.1	ENSG00000215196	-0.365112556639265	0.0015934964886615	NA	NA	NA	NA	NA	NA	NA
AC092667.2	ENSG00000230393	-0.402720190856463	8.64198668923457e-05	NA	NA	NA	NA	NA	NA	NA
AC093802.1	ENSG00000220256	-0.224850326106928	0.00788170396309911	NA	NA	NA	NA	NA	NA	NA
AC097468.7	ENSG00000235024	-0.504643200319606	0.0067604606839549	NA	NA	NA	NA	NA	NA	NA
AC099684.1	ENSG00000228133	-0.479852839395853	0.00906611760653716	NA	NA	NA	NA	NA	NA	NA
AC108142.1	ENSG00000177822	-0.38430082786848	0.00404961343983354	NA	NA	NA	NA	NA	NA	NA
AC118754.4	ENSG00000229782	-0.734118249389797	0.000669213875109987	NA	NA	NA	NA	NA	NA	NA
AC123886.2	ENSG00000231536	-0.422217415487752	0.00953210436827395	NA	NA	NA	NA	NA	NA	NA
AC129492.6	ENSG00000214999	-0.3854451910211	0.00678246764897658	NA	NA	NA	NA	NA	NA	NA
AC137723.5	ENSG00000235296	-0.516197250249428	0.0019034242201164	NA	NA	NA	NA	NA	NA	NA
AC138035.2	ENSG00000238035	-0.457883123049482	0.0053487432537734	NA	NA	NA	NA	NA	NA	NA
AC138647.1	ENSG00000226490	-0.903487382782459	0.000343404951175631	NA	NA	NA	NA	NA	NA	NA
AC144835.1	ENSG00000258483	0.590096774949112	0.00320367368087634	NA	NA	NA	NA	NA	NA	NA
AC145343.2	ENSG00000265055	-0.521625950458175	0.00682460852182024	NA	NA	NA	NA	NA	NA	NA
ACAD9	ENSG00000177646	-0.304879861774909	1.15677019840104e-05	rs3772158	ILMN_1775579	0.08321	0.04592	rs62273237	0.0748	2.768e-06
ACADSB	ENSG00000196177	-0.284329982263477	0.00324930184031824	rs17104498	ILMN_1740920	0.07259	0.05109	rs7906816	-0.1089	0.0008238
ACAN	ENSG00000157766	0.295674102284711	0.00921626200608616	NA	NA	NA	NA	rs7496078	-0.0783	0.0003291
ACBD4	ENSG00000181513	-0.198704491471649	0.00166983008605865	rs4793171	ILMN_1676288	0.1278	0.06429	rs117699225	-0.1385	3.461e-05
ACHE	ENSG00000087085	-0.361174280755408	0.0045421740841974	rs4605982	ILMN_2333219	0.06269	0.1188	rs7384878	-0.0839	2.947e-06
ACKR4	ENSG00000129048	0.297317937145055	0.00696167431559561	NA	NA	NA	NA	rs10935086	-0.1539	0.00143
ACO2	ENSG00000100412	-0.234113011627617	0.000382525511670267	rs9611598	ILMN_1654861	0.06346	0.3391	rs136402	0.0733	4.249e-05
ACOT4	ENSG00000177465	-0.382442206606816	0.00119318207473224	rs8015976	ILMN_1764321	-0.1073	0.03906	rs79401508	0.142	0.0009247
ACOT7	ENSG00000097021	-0.49458398814634	0.000934406677336152	rs1064721	ILMN_1740265	0.1715	0.007058	rs2649079	-0.0566	0.00172
ACOT8	ENSG00000101473	-0.270122332399657	0.000332950947499742	rs6130959	ILMN_1679600	0.06393	0.004851	rs141737283	0.4526	5.711e-05
ACOX1	ENSG00000161533	-0.206298373993109	0.000505302631022472	rs3744032	ILMN_1750158	-0.2302	0.02405	rs12450340	0.0983	9.841e-05
ACP1	ENSG00000143727	-0.277218933971992	0.00489055819587141	rs6717613	ILMN_2344956	-0.06182	0.005633	rs75141812	-0.07	0.0001771
ACP2	ENSG00000134575	-0.307388314304204	0.000533949066810461	rs2167079	ILMN_2104830	-0.09241	0.001131	rs71475924	0.1244	1.44e-06
ACP7	ENSG00000183760	0.339850382749577	0.0065831125994288	NA	NA	NA	NA	rs62120485	0.0746	9.389e-05
ACSL1	ENSG00000151726	0.237634792261332	0.00481109060839526	rs7681334	ILMN_1684585	0.07894	0.04093	rs3814419	0.0679	0.0006689
ACSL6	ENSG00000164398	-0.243285097532876	0.00586346195219749	rs77938	ILMN_2278242	-0.1783	0.03464	rs12187374	0.3503	0.002418
ACTA1	ENSG00000143632	-0.300403599113854	0.00443281053175277	rs1002063	ILMN_2125869	-0.1159	0.07916	rs16849237	0.1852	3.403e-05
ACTB	ENSG00000075624	-0.209821269844985	0.00377462967342375	rs7808325	ILMN_2038777	-0.02165	0.07627	rs10252293	-0.1108	0.000101
ACTG1	ENSG00000184009	-0.336041308300903	4.95962951328201e-05	rs8182360	ILMN_2053178	0.01831	0.06836	rs12602143	0.636	1.354e-05
ACTG1P17	ENSG00000259315	-0.37991171203212	0.00215322968489684	NA	NA	NA	NA	rs905450	-0.0869	2.819e-06
ACTL6B	ENSG00000077080	-0.38806816180502	0.00657654060867077	rs11977607	ILMN_1657855	0.0766	0.2226	rs7384878	-0.0839	2.947e-06
ACTN2	ENSG00000077522	-0.39601057267132	0.00451667633219652	rs7542508	ILMN_1654422	-0.05477	0.02408	rs72767412	-0.0919	0.0001556
ACTR10	ENSG00000131966	-0.260627713411028	0.008530039107814	rs941752	ILMN_1798254	-0.03224	0.1338	rs11624224	0.1547	0.0001208
ACTR3B	ENSG00000133627	-0.428396630969186	0.000382525511670267	rs940261	ILMN_2260392	0.08795	0.01504	rs4570064	0.0955	0.0004975
ACTR3C	ENSG00000106526	-0.369423727464862	0.00039774054671861	NA	NA	NA	NA	rs76396283	-0.1772	0.00455
ADA	ENSG00000196839	0.26815465608396	0.00652340879752052	rs6073491	ILMN_1803686	-0.1205	0.005207	rs141737283	0.4526	5.711e-05
ADAM11	ENSG00000073670	-0.355055513748792	0.000359740867318113	rs8064669	ILMN_1711374	0.1414	0.008618	rs117699225	-0.1385	3.461e-05
ADAM20	ENSG00000134007	-0.227782298918641	0.00784278534484925	NA	NA	NA	NA	rs117614563	0.2608	0.000459
ADAM23	ENSG00000114948	-0.378782574334231	0.00409652969042132	rs1012525	ILMN_2060086	0.1235	0.03038	rs7591030	0.1682	0.0007469
ADAM33	ENSG00000149451	0.403107461730186	6.78271207500686e-06	rs3746634	ILMN_1651657	-0.1804	0.01258	rs2013603	0.0702	0.0001324
ADAM8	ENSG00000151651	-0.268408062906357	0.00206198507749437	rs1573041	ILMN_1708348	-0.1834	0.0009248	rs2397752	0.0774	5.561e-05
ADAMTS3	ENSG00000156140	-0.416703542125978	0.00105565844374155	NA	NA	NA	NA	rs75191269	-0.1746	1.179e-05
ADAMTS8	ENSG00000134917	-0.29443361470102	0.00485668932546834	rs4936101	ILMN_1672403	0.07254	0.06062	rs7940291	0.3464	0.0001304
ADAMTSL1	ENSG00000178031	-0.440221722142246	0.000941368260789814	rs1332704	ILMN_1705250	-0.08973	0.003905	rs10963821	-0.0518	0.001662
ADAT2	ENSG00000189007	-0.294481724940428	0.00492374889796881	NA	NA	NA	NA	rs9496727	-0.1407	0.0003551
ADCY1	ENSG00000164742	-0.364639587599775	3.94622469465469e-05	rs1357111	ILMN_2120555	-0.07587	0.1313	rs149655989	-0.3323	0.0032
ADCYAP1	ENSG00000141433	-0.932857885622324	7.5327275568776e-07	rs2040176	ILMN_1763344	0.1908	0.01184	rs604476	0.1613	2.543e-05
ADD2	ENSG00000075340	-0.282222460671008	0.00485204049761024	rs4852686	ILMN_2336146	-0.1581	0.003421	rs6760748	0.0759	4.871e-05
ADGRA1	ENSG00000197177	-0.363625714843955	0.000236355467490331	NA	NA	NA	NA	rs2397752	0.0774	5.561e-05
ADGRB2	ENSG00000121753	-0.274346557118569	0.000755899788154185	NA	NA	NA	NA	rs1149054	-0.0848	0.0004756
ADGRF3	ENSG00000173567	-0.410416186208009	4.1228930179971e-05	NA	NA	NA	NA	rs732076	0.0623	0.0004123
ADGRF5P1	ENSG00000227582	-0.698018987676592	0.00104450734316372	NA	NA	NA	NA	NA	NA	NA
ADGRG1	ENSG00000205336	0.226968892751493	0.00402059990537746	NA	NA	NA	NA	rs80124781	0.302	9.093e-05
ADGRL4	ENSG00000162618	0.32234275440003	0.00622689563730525	NA	NA	NA	NA	rs145012408	0.1587	0.0005597
ADIPOR2	ENSG00000006831	0.343007681190166	4.63200911517534e-07	rs10735005	ILMN_2224833	-0.1074	0.02336	rs74639204	0.1843	0.0006002
ADORA2A	ENSG00000128271	0.432302289880131	2.68757069944505e-06	rs1008931	ILMN_1807372	-0.1811	0.0005481	rs5760076	-0.0759	3.911e-05
ADPGK-AS1	ENSG00000260898	-0.372491416180951	0.00231156272906689	NA	NA	NA	NA	rs6495056	0.0858	0.003392
ADPRH	ENSG00000144843	0.301965804775258	0.00206614959190727	NA	NA	NA	NA	rs71325396	-0.0877	0.001711
ADRA1B	ENSG00000170214	-0.507230838106305	0.000547388630199395	rs9313828	ILMN_1679754	-0.3837	3.849e-05	rs9968676	0.065	7.244e-05
ADRA1D	ENSG00000171873	-0.771951705908534	1.13295094443419e-05	rs1741295	ILMN_1716421	0.1067	0.003396	rs2013603	0.0702	0.0001324
ADSL	ENSG00000239900	-0.183912574583564	0.0053267268823004	rs8135371	ILMN_1790757	0.09513	0.02571	rs9611427	-0.1271	0.001078
ADTRP	ENSG00000111863	-0.628575793223227	0.000113675647275934	NA	NA	NA	NA	rs16871188	-0.1213	0.000583
AEN	ENSG00000181026	0.214070878404697	0.00240332444910011	NA	NA	NA	NA	rs7496078	-0.0783	0.0003291
AF011889.5	ENSG00000241489	-0.335694256105275	0.00703698788813848	NA	NA	NA	NA	NA	NA	NA
AF131216.5	ENSG00000255020	-0.346812180624751	0.004483290929483	NA	NA	NA	NA	NA	NA	NA
AGAP2	ENSG00000135439	-0.365423915564542	0.00124034492467589	rs4760319	ILMN_1735591	0.06196	0.3607	rs73115999	-0.2586	0.0004117
AGAP2-AS1	ENSG00000255737	0.319270877083469	0.00196116399965269	NA	NA	NA	NA	rs73115999	-0.2586	0.0004117
AGAP5	ENSG00000172650	-0.211417621118588	0.00696167431559561	NA	NA	NA	NA	rs1227073	0.0614	0.001003
AGAP6	ENSG00000204149	-0.212179585563163	0.00237214791526635	NA	NA	NA	NA	rs72789102	0.1374	0.0011
AGBL4	ENSG00000186094	-0.523242176756245	2.76175159179696e-05	rs320019	ILMN_2196642	-0.07062	0.1115	rs112841283	-0.0719	0.0004483
AGBL5	ENSG00000084693	-0.165467063175995	0.00160041500677203	rs2278593	ILMN_2308689	-0.1924	0.001321	rs3795958	-0.0596	0.002825
AGGF1P3	ENSG00000241532	-0.50355053308459	0.00277533772222975	NA	NA	NA	NA	rs7427663	-0.1016	0.00182
AGK	ENSG00000006530	-0.35436651236757	0.00161800346743692	rs4726453	ILMN_1772645	0.03354	0.1188	rs6959455	0.0826	0.002883
AGPAT1	ENSG00000204310	-0.226967279674601	1.49235490071213e-07	rs2269423	ILMN_1679520	-0.06274	0.001281	rs113155065	0.1141	8.737e-09
AGTR1	ENSG00000144891	0.308950283899644	0.00330146915110684	rs4306816	ILMN_2341343	0.1253	0.01313	rs55812136	-0.1909	0.0002641
AHNAK	ENSG00000124942	0.330801875827705	0.00285959775598824	rs2077224	ILMN_1792495	-0.1213	0.01174	rs2727273	-0.0546	0.0007077
AHNAK2	ENSG00000185567	-0.290158417795454	0.00757178345959619	NA	NA	NA	NA	rs57117544	0.1257	0.0003752
AHRR	ENSG00000063438	-0.500116084654054	0.000105719127474969	NA	NA	NA	NA	rs4957047	-0.1269	0.0002458
AIF1L	ENSG00000126878	0.324123040424384	9.26008292182982e-05	NA	NA	NA	NA	rs62584843	-0.1882	0.001505
AIFM3	ENSG00000183773	0.194055633344925	0.00147618920032069	NA	NA	NA	NA	rs12168746	-0.0981	8.817e-05
AIG1	ENSG00000146416	-0.182336902130585	0.0053487432537734	rs223614	ILMN_1797974	-0.1048	0.001715	rs9496727	-0.1407	0.0003551
AIMP2	ENSG00000106305	-0.25053226080576	0.000662265269375886	NA	NA	NA	NA	rs10252293	-0.1108	0.000101
AJ003147.9	ENSG00000262668	-0.60934188274916	0.000786397983289271	NA	NA	NA	NA	NA	NA	NA
AK3P3	ENSG00000230042	-0.495843955841049	0.0070948320418568	NA	NA	NA	NA	rs28702730	-0.1397	0.0009647
AK4	ENSG00000162433	0.265624321573339	0.000839321964833325	NA	NA	NA	NA	rs112441283	-0.1811	0.003432
AKAP5	ENSG00000179841	-0.669095549565929	0.000869916583833773	NA	NA	NA	NA	rs1271558	0.0578	0.0004165
AKIRIN2	ENSG00000135334	-0.30846282869004	0.00518558912094562	rs7772351	ILMN_2148847	-0.06412	0.006987	rs117395478	-0.2854	0.0002355
AKR7A2	ENSG00000053371	-0.166109893595443	0.00765248915304654	rs12133034	ILMN_1677043	0.0675	0.03249	rs9117	-0.0961	0.0006061
AL132709.1	ENSG00000230805	-0.823547872509362	6.0693582705926e-05	NA	NA	NA	NA	NA	NA	NA
AL163953.3	ENSG00000237356	0.464502270181934	0.00933851846344739	NA	NA	NA	NA	NA	NA	NA
ALDH1A1	ENSG00000165092	-0.342966581870947	0.00218847674959841	rs13285182	ILMN_2096372	-0.05638	0.1575	rs62572586	-0.0762	0.0003662
ALDH1B1	ENSG00000137124	-0.240231579110753	0.0098277182724966	rs341466	ILMN_2150894	-0.1243	0.02205	rs138487996	0.1106	0.0005913
ALDH1L2	ENSG00000136010	-0.347142374387825	0.000328367443857374	NA	NA	NA	NA	rs144589720	0.2278	8.694e-05
ALDH5A1	ENSG00000112294	-0.234322768007901	0.00268520827688414	rs3761788	ILMN_2372398	-0.1184	0.02825	rs140678794	0.3727	0.0004278
ALDOA	ENSG00000149925	-0.342996872271256	0.0008135076137647	rs11865086	ILMN_1736700	0.03465	0.1258	rs141436390	0.3399	0.0002321
ALG14	ENSG00000172339	-0.218876846204004	0.00296294103641533	rs2766003	ILMN_2191822	-0.06909	0.007016	rs11165063	0.0729	0.001436
ALG1L9P	ENSG00000248671	-0.444814403593353	0.00179823146638754	NA	NA	NA	NA	rs74766959	0.4847	0.0003218
ALG9	ENSG00000086848	-0.191714900257585	0.00299683013093732	rs3737445	ILMN_1732809	0.06851	0.02208	rs117684072	-0.2876	0.0001151
ALKBH4	ENSG00000160993	-0.220822995300485	0.00849821572501898	rs1131383	ILMN_1805673	0.03984	0.03404	rs6465842	0.0656	0.0005108
ALKBH6	ENSG00000239382	-0.307853668640413	0.000497003467407276	NA	NA	NA	NA	rs147802163	0.2852	0.0004858
ALKBH7	ENSG00000125652	-0.401070933435238	0.000323582184719185	rs1982082	ILMN_1761764	0.05123	0.07849	rs56931055	0.1151	0.001673
ALOX12B	ENSG00000179477	-0.734869680744684	6.20001906000693e-06	rs3027215	ILMN_1692332	0.3948	0.001079	rs2036171	-0.0531	0.001306
ALOX12P2	ENSG00000262943	-0.211614297112817	0.006001234297457	rs4796360	ILMN_2137544	-0.05601	0.2547	rs11871360	0.3992	0.001656
ALOX15B	ENSG00000179593	0.395860553503739	0.00539124502455305	rs7216269	ILMN_2393149	0.2378	0.002042	rs2036171	-0.0531	0.001306
ALS2CL	ENSG00000178038	-0.326675491707471	0.00178609837537316	rs7640056	ILMN_1700596	-0.1323	0.03946	rs80017031	0.2306	0.001432
ALYREF	ENSG00000183684	-0.318009282476513	0.00038181299864729	NA	NA	NA	NA	rs55997369	-0.2296	0.01258
AMER3	ENSG00000178171	-0.280964049218258	0.00980991385879525	NA	NA	NA	NA	rs1251203	-0.1163	0.001717
AMH	ENSG00000104899	-0.452328316665493	0.00507945480853747	NA	NA	NA	NA	rs59572086	0.0843	0.0007112
AMMECR1LP1	ENSG00000233273	-0.552706369828943	0.00119143516470502	NA	NA	NA	NA	rs4148511	-0.3247	0.001388
AMPH	ENSG00000078053	-0.39695280802186	0.00782467347337036	rs2534575	ILMN_1685834	0.1203	0.002936	rs59415886	-0.0742	4.557e-06
AMY2A	ENSG00000243480	-0.608791171527894	0.00190711657433751	NA	NA	NA	NA	rs11185345	-0.0538	0.0007605
ANAPC15	ENSG00000110200	-0.148604372639651	0.00795834607368082	NA	NA	NA	NA	rs74766959	0.4847	0.0003218
ANAPC16	ENSG00000166295	0.16073673006424	0.00396723595874437	NA	NA	NA	NA	rs12253621	0.0953	0.0002533
ANGPT1	ENSG00000154188	0.431265691236782	0.000186164772000447	rs12547442	ILMN_2086890	0.132	0.05361	rs78206589	-0.2099	0.0002541
ANGPT2	ENSG00000091879	0.693724538635284	0.00061425730172935	rs2442573	ILMN_1774207	-0.2068	0.03147	rs116236945	0.1334	0.000309
ANKEF1	ENSG00000132623	-0.356583910134671	0.000411694378342552	NA	NA	NA	NA	rs78140317	0.0793	0.001759
ANKMY1	ENSG00000144504	-0.24996252274289	0.00422024060339761	rs12695024	ILMN_1675483	0.1302	0.01079	rs12712299	0.0779	0.0006851
ANKMY2	ENSG00000106524	-0.283403088222086	0.00693778350058845	rs7156	ILMN_1784292	0.0479	0.03382	rs593784	-0.0538	0.001217
ANKRD16	ENSG00000134461	-0.28857136149833	0.00121142817082709	rs6602330	ILMN_1675435	0.3326	5.364e-11	rs12255506	-0.0776	0.0004524
ANKRD18DP	ENSG00000226435	-0.544923176636482	1.78704936345753e-06	NA	NA	NA	NA	rs4857594	0.0959	0.009346
ANKRD19P	ENSG00000187984	-0.57806324314714	1.84900308716384e-08	NA	NA	NA	NA	rs17542250	-0.3594	0.0005012
ANKRD20A19P	ENSG00000196593	-0.432425387344503	0.0066940383024594	NA	NA	NA	NA	rs145908562	0.3145	8.128e-05
ANKRD24	ENSG00000089847	-0.417875215112685	1.58863666555179e-05	rs350887	ILMN_2101368	-0.1067	0.05571	rs12982061	-0.1029	0.0001444
ANKRD29	ENSG00000154065	-0.255326668311982	0.00808550686569681	rs1788826	ILMN_2075643	0.06009	0.01852	rs72890974	0.0974	0.0003991
ANKRD30A	ENSG00000148513	0.234627690454194	0.00549255143571802	NA	NA	NA	NA	rs10827787	-0.0664	0.001255
ANKRD30B	ENSG00000180777	-0.484859804957762	3.32847263401084e-05	NA	NA	NA	NA	rs78846506	-0.1271	0.0006348
ANKRD33B	ENSG00000164236	-0.606665717823729	0.000403582502981932	NA	NA	NA	NA	rs115348864	-0.2923	5.744e-05
ANKRD34C-AS1	ENSG00000259234	-0.722942885848041	0.000835267411945855	NA	NA	NA	NA	rs3947042	0.2671	0.0003757
ANKRD36BP2	ENSG00000230006	-0.277019900841708	0.00289876085688481	NA	NA	NA	NA	rs60952640	-0.2318	0.004403
ANKRD39	ENSG00000213337	-0.337849700748617	0.000644770776185351	rs4907203	ILMN_1710979	0.08712	0.1157	rs77060285	-0.104	0.0009522
ANKRD40	ENSG00000154945	0.32116784154572	2.98048267428626e-08	rs2159432	ILMN_1758846	0.04422	0.03752	rs141073699	0.2027	0.001461
ANKRD42	ENSG00000137494	-0.297140706840641	0.00108729856511999	rs7111383	ILMN_1676605	-0.1078	0.06647	rs72950330	0.2769	0.0001217
ANKRD53	ENSG00000144031	0.360551255998729	0.00578276230187002	NA	NA	NA	NA	rs6760748	0.0759	4.871e-05
ANKRD55	ENSG00000164512	-0.365820305040244	0.00675434716148885	rs10491472	ILMN_2341724	-0.1092	0.04006	rs72767222	-0.095	0.001479
ANKRD6	ENSG00000135299	-0.263963777607673	0.00186459820066488	rs6914963	ILMN_2178587	0.1122	0.006065	rs72916026	0.2192	0.0007628
ANKS1B	ENSG00000185046	-0.237899797721002	0.00183234873237838	rs10860363	ILMN_2340974	-0.04839	0.005506	rs10860304	-0.0644	0.0001397
ANLN	ENSG00000011426	0.67035939346871	4.01438914264249e-08	rs1419985	ILMN_1739645	-0.1413	0.0002545	rs1420427	0.0634	0.0005941
ANO1	ENSG00000131620	-0.288349669051694	0.00752107877847623	NA	NA	NA	NA	rs12421128	0.1807	3.684e-05
ANO3	ENSG00000134343	-0.414252283092922	0.00140242035969598	NA	NA	NA	NA	rs1584038	0.0566	0.008102
ANPEP	ENSG00000166825	0.360526325787853	0.00105463390641928	rs8041622	ILMN_1763837	-0.3261	0.006406	rs6496619	-0.0789	0.000109
AP000223.42	ENSG00000260583	-0.338772596452791	2.70751659285392e-05	NA	NA	NA	NA	NA	NA	NA
AP000302.58	ENSG00000231355	0.780403063643397	1.20415232116649e-05	NA	NA	NA	NA	NA	NA	NA
AP000662.4	ENSG00000254602	-0.346216224051973	9.14950179851273e-05	NA	NA	NA	NA	NA	NA	NA
