# Organism: H. sapiens
# Application version: 3.5.0
# Database version: 16 October 2014 00:00:00
# Network generated on: 1 May 2017
# Author: GeneMANIA (genemania.org)
# Notes: Network weight reflects the data source relevance for predicting the function of interest
Entity 1	Entity 2	Weight	Network group	Network
HLA-DQB1	CRTAM	0.009268372	Co-expression	Salaverria-Siebert-2011
HLA-DQB1	HLA-DRA	0.02854106	Co-expression	Salaverria-Siebert-2011
HLA-DQB1	HLA-DMA	0.025646772	Co-expression	Salaverria-Siebert-2011
HLA-DQB1	HLA-DMB	0.024146153	Co-expression	Salaverria-Siebert-2011
APOC3	APOA1	0.011868015	Co-expression	Salaverria-Siebert-2011
APOC3	APOA4	0.01370014	Co-expression	Salaverria-Siebert-2011
APOC2	APOC1	0.018490357	Co-expression	Bild-Nevins-2006 B
APOE	APOC1	0.024997057	Co-expression	Bild-Nevins-2006 B
BIN1	CLU	0.018752936	Co-expression	Bild-Nevins-2006 B
TRAPPC6A	PVRL2	0.013439775	Co-expression	Bild-Nevins-2006 B
BCL3	BCAM	0.021943409	Co-expression	Bild-Nevins-2006 B
CLPTM1	CLASRP	0.011979855	Co-expression	Bild-Nevins-2006 B
HMHA1	BIN1	0.008109865	Co-expression	Bild-Nevins-2006 B
HMHA1	PTK2B	0.009085548	Co-expression	Bild-Nevins-2006 B
TOMM40	CLPTM1	0.013202199	Co-expression	Bild-Nevins-2006 B
HLA-DPB1	APOC1	0.014924019	Co-expression	Bild-Nevins-2006 B
HLA-DPB1	APOE	0.017166777	Co-expression	Bild-Nevins-2006 B
HLA-DPB1	HMHA1	0.007548492	Co-expression	Bild-Nevins-2006 B
CD96	HMHA1	0.007038368	Co-expression	Bild-Nevins-2006 B
C1QB	APOC1	0.009808525	Co-expression	Bild-Nevins-2006 B
C1QB	APOC2	0.0092569515	Co-expression	Bild-Nevins-2006 B
C1QB	HLA-DQA1	0.0092433365	Co-expression	Bild-Nevins-2006 B
KIDINS220	PICALM	0.0076614413	Co-expression	Bild-Nevins-2006 B
HLA-DRA	APOC1	0.011368066	Co-expression	Bild-Nevins-2006 B
HLA-DRA	APOE	0.01964596	Co-expression	Bild-Nevins-2006 B
HLA-DRA	HLA-DPB1	0.018526994	Co-expression	Bild-Nevins-2006 B
HLA-DMA	HLA-DQA1	0.011019495	Co-expression	Bild-Nevins-2006 B
HLA-DMA	PTK2B	0.013832655	Co-expression	Bild-Nevins-2006 B
HLA-DMA	HLA-DPB1	0.011606059	Co-expression	Bild-Nevins-2006 B
HLA-DMA	C1QB	0.0069587184	Co-expression	Bild-Nevins-2006 B
HLA-DMA	HLA-DRA	0.009463839	Co-expression	Bild-Nevins-2006 B
HLA-DMB	APOC1	0.006533692	Co-expression	Bild-Nevins-2006 B
HLA-DMB	APOC2	0.0067442986	Co-expression	Bild-Nevins-2006 B
HLA-DMB	HLA-DQA1	0.008191227	Co-expression	Bild-Nevins-2006 B
HLA-DMB	PTK2B	0.010451223	Co-expression	Bild-Nevins-2006 B
HLA-DMB	HLA-DPB1	0.009167085	Co-expression	Bild-Nevins-2006 B
HLA-DMB	C1QB	0.0056979153	Co-expression	Bild-Nevins-2006 B
HLA-DMB	HLA-DRA	0.007196238	Co-expression	Bild-Nevins-2006 B
HLA-DMB	HLA-DMA	0.006783685	Co-expression	Bild-Nevins-2006 B
HLA-DQB1	HLA-DRA	0.01873712	Co-expression	Bild-Nevins-2006 B
HLA-DQB1	HLA-DMA	0.015617213	Co-expression	Bild-Nevins-2006 B
HLA-DQB1	HLA-DMB	0.011578595	Co-expression	Bild-Nevins-2006 B
MS4A4A	SLC24A4	0.0123253325	Co-expression	Innocenti-Brown-2011
MS4A6A	MS4A4A	0.014691358	Co-expression	Innocenti-Brown-2011
EXOC3L2	BCAM	0.007227112	Co-expression	Innocenti-Brown-2011
APOC2	APOC1	0.024686582	Co-expression	Innocenti-Brown-2011
APOE	APOC2	0.025016543	Co-expression	Innocenti-Brown-2011
BIN1	ABCA7	0.016392177	Co-expression	Innocenti-Brown-2011
CD33	MS4A4A	0.0095619885	Co-expression	Innocenti-Brown-2011
CD33	CR1	0.011290107	Co-expression	Innocenti-Brown-2011
CD33	MS4A6A	0.00925549	Co-expression	Innocenti-Brown-2011
HLA-DRB1	MS4A2	0.0077594155	Co-expression	Innocenti-Brown-2011
HLA-DRB1	HLA-DQA1	0.012191676	Co-expression	Innocenti-Brown-2011
CLPTM1	PVRL2	0.0047457255	Co-expression	Innocenti-Brown-2011
TOMM40	PVR	0.0093900645	Co-expression	Innocenti-Brown-2011
TOMM40	CLPTM1	0.0016690389	Co-expression	Innocenti-Brown-2011
RELB	BCL3	0.009602055	Co-expression	Innocenti-Brown-2011
APOA1	APOC2	0.026085895	Co-expression	Innocenti-Brown-2011
APOA1	APOE	0.025130453	Co-expression	Innocenti-Brown-2011
APOC4-APOC2	CLU	0.024308017	Co-expression	Innocenti-Brown-2011
APOC4-APOC2	APOC2	0.027741566	Co-expression	Innocenti-Brown-2011
APOA5	IGSF23	0.01232234	Co-expression	Innocenti-Brown-2011
HLA-DPB1	HLA-DQA1	0.019168368	Co-expression	Innocenti-Brown-2011
HLA-DPB1	HLA-DRB1	0.010366693	Co-expression	Innocenti-Brown-2011
APOA4	APOA5	0.014009295	Co-expression	Innocenti-Brown-2011
C1QB	MS4A4A	0.012055754	Co-expression	Innocenti-Brown-2011
C1QB	MS4A6A	0.014952588	Co-expression	Innocenti-Brown-2011
C1QB	CD33	0.009807634	Co-expression	Innocenti-Brown-2011
KIDINS220	SFSWAP	0.006621337	Co-expression	Innocenti-Brown-2011
HLA-DRA	HLA-DQA1	0.013024233	Co-expression	Innocenti-Brown-2011
HLA-DRA	HLA-DRB1	0.007139828	Co-expression	Innocenti-Brown-2011
HLA-DRA	HLA-DPB1	0.011232493	Co-expression	Innocenti-Brown-2011
HLA-DMA	MS4A2	0.0097053135	Co-expression	Innocenti-Brown-2011
HLA-DMA	HLA-DQA1	0.012862916	Co-expression	Innocenti-Brown-2011
HLA-DMA	HLA-DRB1	0.0074995547	Co-expression	Innocenti-Brown-2011
HLA-DMA	HLA-DPB1	0.011552663	Co-expression	Innocenti-Brown-2011
HLA-DMA	HLA-DRA	0.007946837	Co-expression	Innocenti-Brown-2011
HLA-DMB	HLA-DRB1	0.010863851	Co-expression	Innocenti-Brown-2011
HLA-DMB	HLA-DPB1	0.018435372	Co-expression	Innocenti-Brown-2011
HLA-DMB	HLA-DRA	0.012988814	Co-expression	Innocenti-Brown-2011
HLA-DMB	HLA-DMA	0.015325202	Co-expression	Innocenti-Brown-2011
HLA-DQB1	HLA-DRB1	0.011975205	Co-expression	Innocenti-Brown-2011
HLA-DQB1	HLA-DPB1	0.017989045	Co-expression	Innocenti-Brown-2011
HLA-DQB1	HLA-DRA	0.014749458	Co-expression	Innocenti-Brown-2011
APOC3	APOC1	0.017883485	Co-expression	Innocenti-Brown-2011
APOC3	APOC2	0.01875391	Co-expression	Innocenti-Brown-2011
APOC3	APOE	0.020348268	Co-expression	Innocenti-Brown-2011
APOC3	APOA1	0.020560674	Co-expression	Innocenti-Brown-2011
APOC3	APOC4-APOC2	0.018754903	Co-expression	Innocenti-Brown-2011
MS4A7	MS4A4A	0.008686044	Co-expression	Innocenti-Brown-2011
MS4A7	CR1	0.010859818	Co-expression	Innocenti-Brown-2011
MS4A7	MS4A6A	0.009438787	Co-expression	Innocenti-Brown-2011
MS4A7	CD33	0.006684812	Co-expression	Innocenti-Brown-2011
MS4A7	C1QB	0.009866202	Co-expression	Innocenti-Brown-2011
MS4A7	HLA-DMB	0.009585412	Co-expression	Innocenti-Brown-2011
GPR111	NKPD1	0.009734309	Co-expression	Roth-Zlotnik-2006
CEACAM19	NKPD1	0.003382742	Co-expression	Roth-Zlotnik-2006
PVR	CEACAM19	0.010001241	Co-expression	Roth-Zlotnik-2006
MS4A6A	MS4A4A	0.028992357	Co-expression	Roth-Zlotnik-2006
EPHA1	NKPD1	0.011367886	Co-expression	Roth-Zlotnik-2006
APOE	APOC1	0.01775008	Co-expression	Roth-Zlotnik-2006
APOE	APOC2	0.02123632	Co-expression	Roth-Zlotnik-2006
CD33	CR1L	0.008566514	Co-expression	Roth-Zlotnik-2006
HLA-DRB1	MS4A6A	0.0124456	Co-expression	Roth-Zlotnik-2006
CLPTM1	MARK4	0.012851539	Co-expression	Roth-Zlotnik-2006
HMHA1	CR1	0.0062008216	Co-expression	Roth-Zlotnik-2006
HMHA1	ABCA7	0.003559584	Co-expression	Roth-Zlotnik-2006
HMHA1	HLA-DQA1	0.0057574906	Co-expression	Roth-Zlotnik-2006
APOC4-APOC2	APOC1	0.0073169977	Co-expression	Roth-Zlotnik-2006
APOC4-APOC2	APOC2	0.009612328	Co-expression	Roth-Zlotnik-2006
APOC4-APOC2	APOE	0.008015262	Co-expression	Roth-Zlotnik-2006
APOC4-APOC2	APOA1	0.009370777	Co-expression	Roth-Zlotnik-2006
APOA5	APOC4-APOC2	0.0070910016	Co-expression	Roth-Zlotnik-2006
HLA-DPB1	MS4A6A	0.012045075	Co-expression	Roth-Zlotnik-2006
HLA-DPB1	HLA-DQA1	0.0134047335	Co-expression	Roth-Zlotnik-2006
HLA-DPB1	HLA-DRB1	0.0089675365	Co-expression	Roth-Zlotnik-2006
HLA-DPB1	HMHA1	0.0029429991	Co-expression	Roth-Zlotnik-2006
APOA4	TOMM40	0.00803739	Co-expression	Roth-Zlotnik-2006
CD96	HMHA1	0.0039100396	Co-expression	Roth-Zlotnik-2006
C1QB	MS4A4A	0.020112272	Co-expression	Roth-Zlotnik-2006
C1QB	MS4A6A	0.019512018	Co-expression	Roth-Zlotnik-2006
C1QB	HLA-DRB1	0.0096118655	Co-expression	Roth-Zlotnik-2006
C1QB	HLA-DPB1	0.008706017	Co-expression	Roth-Zlotnik-2006
HLA-DRA	HLA-DQA1	0.018566612	Co-expression	Roth-Zlotnik-2006
HLA-DRA	HLA-DRB1	0.012770576	Co-expression	Roth-Zlotnik-2006
HLA-DRA	HLA-DPB1	0.012242674	Co-expression	Roth-Zlotnik-2006
HLA-DRA	C1QB	0.011982862	Co-expression	Roth-Zlotnik-2006
HLA-DMA	HLA-DQA1	0.013103443	Co-expression	Roth-Zlotnik-2006
HLA-DMA	HLA-DRB1	0.008263172	Co-expression	Roth-Zlotnik-2006
HLA-DMA	HMHA1	0.0027563302	Co-expression	Roth-Zlotnik-2006
HLA-DMA	HLA-DPB1	0.008012459	Co-expression	Roth-Zlotnik-2006
HLA-DMA	C1QB	0.0075442065	Co-expression	Roth-Zlotnik-2006
HLA-DMA	HLA-DRA	0.011218216	Co-expression	Roth-Zlotnik-2006
HLA-DMB	HLA-DQA1	0.013321911	Co-expression	Roth-Zlotnik-2006
HLA-DMB	HLA-DRB1	0.006187859	Co-expression	Roth-Zlotnik-2006
HLA-DMB	HMHA1	0.0029037918	Co-expression	Roth-Zlotnik-2006
HLA-DMB	HLA-DPB1	0.006714568	Co-expression	Roth-Zlotnik-2006
HLA-DMB	CD96	0.0075499215	Co-expression	Roth-Zlotnik-2006
HLA-DMB	HLA-DRA	0.009246004	Co-expression	Roth-Zlotnik-2006
HLA-DMB	HLA-DMA	0.006445999	Co-expression	Roth-Zlotnik-2006
HLA-DQB1	HLA-DRB1	0.01615047	Co-expression	Roth-Zlotnik-2006
HLA-DQB1	HMHA1	0.0058303922	Co-expression	Roth-Zlotnik-2006
HLA-DQB1	HLA-DPB1	0.015835326	Co-expression	Roth-Zlotnik-2006
HLA-DQB1	HLA-DRA	0.022137279	Co-expression	Roth-Zlotnik-2006
HLA-DQB1	HLA-DMA	0.015216082	Co-expression	Roth-Zlotnik-2006
HLA-DQB1	HLA-DMB	0.01295452	Co-expression	Roth-Zlotnik-2006
APOC3	APOC2	0.014366636	Co-expression	Roth-Zlotnik-2006
APOC3	APOA1	0.01461715	Co-expression	Roth-Zlotnik-2006
APOC3	APOC4-APOC2	0.0061325603	Co-expression	Roth-Zlotnik-2006
APOC3	APOA5	0.010980263	Co-expression	Roth-Zlotnik-2006
MS4A7	MS4A4A	0.014421686	Co-expression	Roth-Zlotnik-2006
MS4A7	HLA-DRB1	0.00955093	Co-expression	Roth-Zlotnik-2006
MS4A7	HLA-DPB1	0.00856703	Co-expression	Roth-Zlotnik-2006
MS4A7	C1QB	0.014118688	Co-expression	Roth-Zlotnik-2006
MS4A7	HLA-DRA	0.012333848	Co-expression	Roth-Zlotnik-2006
MS4A7	HLA-DMA	0.007987849	Co-expression	Roth-Zlotnik-2006
MS4A6A	MS4A4A	0.032818735	Co-expression	Arijs-Rutgeerts-2009
EXOC3L2	NKPD1	0.005768855	Co-expression	Arijs-Rutgeerts-2009
CLU	SCARA3	0.035077356	Co-expression	Arijs-Rutgeerts-2009
APOE	APOC1	0.02677977	Co-expression	Arijs-Rutgeerts-2009
BCL3	PVRL2	0.020500168	Co-expression	Arijs-Rutgeerts-2009
CLPTM1	CLASRP	0.0074236896	Co-expression	Arijs-Rutgeerts-2009
TOMM40	PVR	0.009282046	Co-expression	Arijs-Rutgeerts-2009
CLUL1	NKPD1	0.012756873	Co-expression	Arijs-Rutgeerts-2009
CLUL1	APOC4-APOC2	0.010566097	Co-expression	Arijs-Rutgeerts-2009
HLA-DPB1	HLA-DRB1	0.012033416	Co-expression	Arijs-Rutgeerts-2009
APOA4	APOC2	0.011820235	Co-expression	Arijs-Rutgeerts-2009
APOA4	APOA1	0.007695717	Co-expression	Arijs-Rutgeerts-2009
C1QB	MS4A4A	0.0224947	Co-expression	Arijs-Rutgeerts-2009
C1QB	MS4A6A	0.020692507	Co-expression	Arijs-Rutgeerts-2009
C1QB	APOC1	0.016151851	Co-expression	Arijs-Rutgeerts-2009
C1QB	APOE	0.0249839	Co-expression	Arijs-Rutgeerts-2009
C1QB	HLA-DQA1	0.020862713	Co-expression	Arijs-Rutgeerts-2009
HLA-DRA	HLA-DRB1	0.009712528	Co-expression	Arijs-Rutgeerts-2009
HLA-DRA	HLA-DPB1	0.012014289	Co-expression	Arijs-Rutgeerts-2009
HLA-DMA	HLA-DRB1	0.010584524	Co-expression	Arijs-Rutgeerts-2009
HLA-DMA	HLA-DPB1	0.015517348	Co-expression	Arijs-Rutgeerts-2009
HLA-DMA	HLA-DRA	0.010787962	Co-expression	Arijs-Rutgeerts-2009
HLA-DMB	HLA-DRB1	0.008500582	Co-expression	Arijs-Rutgeerts-2009
HLA-DMB	HLA-DPB1	0.012138181	Co-expression	Arijs-Rutgeerts-2009
HLA-DMB	HLA-DRA	0.009216265	Co-expression	Arijs-Rutgeerts-2009
HLA-DMB	HLA-DMA	0.009740433	Co-expression	Arijs-Rutgeerts-2009
HLA-DQB1	HLA-DRB1	0.011346157	Co-expression	Arijs-Rutgeerts-2009
HLA-DQB1	HLA-DPB1	0.019972643	Co-expression	Arijs-Rutgeerts-2009
HLA-DQB1	C1QB	0.014394605	Co-expression	Arijs-Rutgeerts-2009
HLA-DQB1	HLA-DRA	0.010424349	Co-expression	Arijs-Rutgeerts-2009
HLA-DQB1	HLA-DMA	0.017948192	Co-expression	Arijs-Rutgeerts-2009
APOC3	APOA1	0.017582465	Co-expression	Arijs-Rutgeerts-2009
APOC3	APOA4	0.008608128	Co-expression	Arijs-Rutgeerts-2009
APOE	APOC1	0.021959867	Co-expression	Wang-Maris-2006
HLA-DQA1	APOC1	0.013726803	Co-expression	Wang-Maris-2006
HLA-DQA1	APOE	0.018796537	Co-expression	Wang-Maris-2006
CD33	DSG2	0.008270944	Co-expression	Wang-Maris-2006
TOMM40	TRAPPC6A	0.011373731	Co-expression	Wang-Maris-2006
TOMM40	CLASRP	0.0090684155	Co-expression	Wang-Maris-2006
RELB	BCAM	0.01114417	Co-expression	Wang-Maris-2006
RELB	DMWD	0.011603418	Co-expression	Wang-Maris-2006
HLA-DPB1	APOC1	0.012796041	Co-expression	Wang-Maris-2006
HLA-DPB1	APOE	0.015353516	Co-expression	Wang-Maris-2006
HLA-DPB1	HLA-DQA1	0.014712362	Co-expression	Wang-Maris-2006
CD226	CR1	0.0073252087	Co-expression	Wang-Maris-2006
CD226	MS4A2	0.0033116671	Co-expression	Wang-Maris-2006
CRTAM	CD96	0.022932937	Co-expression	Wang-Maris-2006
C1QB	APOC1	0.016956946	Co-expression	Wang-Maris-2006
C1QB	APOE	0.020590134	Co-expression	Wang-Maris-2006
C1QB	HLA-DPB1	0.01473525	Co-expression	Wang-Maris-2006
HLA-DRA	APOC1	0.0099367015	Co-expression	Wang-Maris-2006
HLA-DRA	APOC2	0.009485504	Co-expression	Wang-Maris-2006
HLA-DRA	APOE	0.011687639	Co-expression	Wang-Maris-2006
HLA-DRA	HLA-DQA1	0.011386335	Co-expression	Wang-Maris-2006
HLA-DRA	HLA-DPB1	0.010722036	Co-expression	Wang-Maris-2006
HLA-DRA	C1QB	0.011250316	Co-expression	Wang-Maris-2006
HLA-DMA	APOC1	0.01139843	Co-expression	Wang-Maris-2006
HLA-DMA	APOC2	0.009720863	Co-expression	Wang-Maris-2006
HLA-DMA	APOE	0.012954071	Co-expression	Wang-Maris-2006
HLA-DMA	HLA-DQA1	0.011350953	Co-expression	Wang-Maris-2006
HLA-DMA	HLA-DPB1	0.010957552	Co-expression	Wang-Maris-2006
HLA-DMA	C1QB	0.012795355	Co-expression	Wang-Maris-2006
HLA-DMA	HLA-DRA	0.008264155	Co-expression	Wang-Maris-2006
HLA-DMB	APOC1	0.012306186	Co-expression	Wang-Maris-2006
HLA-DMB	APOC2	0.01028422	Co-expression	Wang-Maris-2006
HLA-DMB	APOE	0.0139799155	Co-expression	Wang-Maris-2006
HLA-DMB	HLA-DQA1	0.012240395	Co-expression	Wang-Maris-2006
HLA-DMB	HLA-DPB1	0.011242066	Co-expression	Wang-Maris-2006
HLA-DMB	C1QB	0.012279175	Co-expression	Wang-Maris-2006
HLA-DMB	HLA-DRA	0.008556328	Co-expression	Wang-Maris-2006
HLA-DMB	HLA-DMA	0.008956923	Co-expression	Wang-Maris-2006
HLA-DQB1	APOC1	0.017950458	Co-expression	Wang-Maris-2006
HLA-DQB1	HLA-DPB1	0.019231575	Co-expression	Wang-Maris-2006
HLA-DQB1	C1QB	0.021782614	Co-expression	Wang-Maris-2006
HLA-DQB1	HLA-DRA	0.0149697075	Co-expression	Wang-Maris-2006
HLA-DQB1	HLA-DMA	0.014886957	Co-expression	Wang-Maris-2006
HLA-DQB1	HLA-DMB	0.015472451	Co-expression	Wang-Maris-2006
APOC3	CR1	0.015528678	Co-expression	Wang-Maris-2006
APOC3	EPHA1	0.0067875674	Co-expression	Wang-Maris-2006
APOC3	CD226	0.004900301	Co-expression	Wang-Maris-2006
CEACAM19	PPP1R37	0.0042704507	Co-expression	Kang-Willman-2010
EXOC3L2	NKPD1	0.00094653055	Co-expression	Kang-Willman-2010
EXOC3L2	SCARA3	0.0027472915	Co-expression	Kang-Willman-2010
EXOC3L2	PVR	0.0029673749	Co-expression	Kang-Willman-2010
EXOC3L2	BCAM	0.0022949711	Co-expression	Kang-Willman-2010
EXOC3L2	EPHA1	0.0016305619	Co-expression	Kang-Willman-2010
EXOC3L2	MS4A2	0.0026751382	Co-expression	Kang-Willman-2010
DMWD	EXOC3L2	0.0026544514	Co-expression	Kang-Willman-2010
APOC1	EXOC3L2	0.0021526304	Co-expression	Kang-Willman-2010
APOE	EXOC3L2	0.0021087013	Co-expression	Kang-Willman-2010
CLASRP	MARK4	0.010528317	Co-expression	Kang-Willman-2010
HLA-DRB1	HLA-DQA1	0.03293165	Co-expression	Kang-Willman-2010
CLPTM1	CLASRP	0.0094832415	Co-expression	Kang-Willman-2010
HMHA1	PTK2B	0.00914542	Co-expression	Kang-Willman-2010
TOMM40	TRAPPC6A	0.012520747	Co-expression	Kang-Willman-2010
RELB	CLASRP	0.0042973566	Co-expression	Kang-Willman-2010
RELB	BCL3	0.00900599	Co-expression	Kang-Willman-2010
RELB	CLPTM1	0.0062367427	Co-expression	Kang-Willman-2010
APOA1	EXOC3L2	0.0021863224	Co-expression	Kang-Willman-2010
APOC4-APOC2	EXOC3L2	0.0013924086	Co-expression	Kang-Willman-2010
CLUL1	EXOC3L2	0.001252509	Co-expression	Kang-Willman-2010
HLA-DPB1	HLA-DQA1	0.025497803	Co-expression	Kang-Willman-2010
HLA-DPB1	HLA-DRB1	0.028345948	Co-expression	Kang-Willman-2010
C1QB	CR1L	0.01729135	Co-expression	Kang-Willman-2010
HLA-DRA	HLA-DQA1	0.02511661	Co-expression	Kang-Willman-2010
HLA-DRA	HLA-DRB1	0.033606768	Co-expression	Kang-Willman-2010
HLA-DRA	HLA-DPB1	0.026184153	Co-expression	Kang-Willman-2010
HLA-DMA	HLA-DQA1	0.026732696	Co-expression	Kang-Willman-2010
HLA-DMA	HLA-DRB1	0.0366566	Co-expression	Kang-Willman-2010
HLA-DMA	HLA-DPB1	0.029938463	Co-expression	Kang-Willman-2010
HLA-DMA	HLA-DRA	0.032669477	Co-expression	Kang-Willman-2010
HLA-DMB	HLA-DQA1	0.027817454	Co-expression	Kang-Willman-2010
HLA-DMB	HLA-DRB1	0.028999738	Co-expression	Kang-Willman-2010
HLA-DMB	HLA-DPB1	0.022969963	Co-expression	Kang-Willman-2010
HLA-DMB	HLA-DRA	0.02347717	Co-expression	Kang-Willman-2010
HLA-DMB	HLA-DMA	0.029564148	Co-expression	Kang-Willman-2010
HLA-DQB1	HLA-DQA1	0.043392465	Co-expression	Kang-Willman-2010
HLA-DQB1	HLA-DRB1	0.032509368	Co-expression	Kang-Willman-2010
HLA-DQB1	HLA-DPB1	0.026320431	Co-expression	Kang-Willman-2010
HLA-DQB1	HLA-DRA	0.023887778	Co-expression	Kang-Willman-2010
HLA-DQB1	HLA-DMA	0.026306916	Co-expression	Kang-Willman-2010
HLA-DQB1	HLA-DMB	0.02369955	Co-expression	Kang-Willman-2010
APOC3	CEACAM19	0.008299642	Co-expression	Kang-Willman-2010
MS4A6A	MS4A4A	0.01490107	Co-expression	Chen-Brown-2002
